Domain Name,Record Name,Record Type,Record Value
freight.sh,_9704e817d4938fc9ea466bbc2abf098c.freight.sh.,CNAME,_ec14a1004f57c45b6ee451bd4c8b7e8c.kirrbxfjtw.acm-validations.aws.
www.freight.sh,_34b8d2662f8682f93d4108e183b4363c.www.freight.sh.,CNAME,_bc6ef75a7973743dbb59305dbc54e177.kirrbxfjtw.acm-validations.aws.
